Name,File,Volume,RandomPitch,MinPitch,MaxPitch,Loop,Alternation
textbox,audio/skiptext.wav,80,False,100,100,False,
door,audio/door_enter.wav,100,False,100,100,False,
heal,audio/recover_health.wav,100,False,100,100,False,
damage,audio/take_dmg.wav,100,True,80,120,False,
menu_nav,audio/menu_nav.wav,100,False,100,100,False,
menu_select,audio/menu_select.wav,100,False,100,100,False,
menu_enter,audio/menu_select.wav,100,False,100,100,False,
locked_door,audio/door_locked.wav,100,False,100,100,False,
unlock_door,audio/unlock_door.wav,100,False,100,100,False,
save_game,audio/save_game.wav,100,False,100,100,False,
item_pickup,audio/item_pickup.wav,100,False,100,100,False,
walk,audio/player_step.wav,100,False,800,800,False,Sequence
,audio/player_step.wav,100,False,50,50,False,
start_game,audio/start_load_fade.wav,100,False,100,100,False,
player_death,audio/player_death.wav,100,False,100,100,False,
knife_use,audio/knife_use.wav,100,False,100,100,False,
hit_enemy,audio/hit_enemy.wav,100,False,100,100,False,
entity_death,audio/entity_death.wav,100,False,100,100,False,
